Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
H4C13	6p22.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
HDC	15q21.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
HSPB7	1p36.13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
HTR4	5q32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
HTRA4	8p11.22	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
IFNL3	19q13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
IL13RA1	Xq24	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
INHBB	2q14.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
KLRF1	12p13.31	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
KYNU	2q22.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
L3MBTL4	18p11.31	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LDB3	10q23.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LILRA4	19q13.42	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LINC00473	6q27	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LINC00511	17q24.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LINC00602	6q27	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LINC00857	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
LRTOMT	11q13.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
MAML2	11q21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
MAN1B1	9q34.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
MBL1P	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
MMP24OS	20q11.22	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
MSH6	2p16.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NACA2	17q23.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NFIA	1p31.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NFS1	20q11.22	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NME8	7p14.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NPHP1	2q13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NRF1	7q32.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NT5M	17p11.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
NUTM2B	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
OR1J4	9q33.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
OR51B5	11p15.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
OR5B12	11q12.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PABPN1L	16q24.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PCOLCE2	3q23	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PEPD	19q13.11	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PIK3CD-AS1	1p36.22	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PIK3R3	1p34.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PIP4K2A	10p12.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PPIF	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PPME1	11q13.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PRAMEF17	1p36.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PRAMEF5	1p36.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PRMT7	16q22.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PRSS3	9p13.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PRSS36	16p11.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PSMC4	19q13.11-q13.13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
PUS7L	12q12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
RAB40C	16p13.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
RNF125	18q12.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
RORB	9q21.13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
RWDD2B	21q21.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SASS6	1p21.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SDR39U1	14q12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SENP3	17p13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SERPINA7	Xq22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SERPINB12	18q21.33	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SESN3	11q21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SF3B1	2q33.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SHCBP1	16q11.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SIRPA	20p13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SKA1	18q21.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SKA2	17q23.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLC17A3	6p22.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLC25A12	2q31.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLC26A1	4p16.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLC35E2A	1p36.33	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLC46A2	9q32	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLC7A9	19q13.11	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLCO1A2	12p12.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SLX9	21q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SMARCD3	7q36.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SMIM19	8p11.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SMYD4	17p13.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SNORA37	18q21.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SPATA31E1	9q22.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SPINK4	9p13.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SYDE1	19p13.12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
SYN3	22q12.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TBL2	7q11.23	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TMED10	14q24.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TMED7-TICAM2	5q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TMEM254	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TMEM254-AS1	10q22.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TMEM51-AS1	1p36.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TNFRSF4	1p36.33	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TRIM44	11p13	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TRIM60	4q32.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
TTI2	8p12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
UPK1A	19q13.12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
UPK3B	7q11.23	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
VPS4A	16q23.1	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
WDPCP	2p15	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
WEE1	11p15.4	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
YIF1A	11q13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZFPM1	16q24.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZIK1	19q13.43	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF286A	17p12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF511	10q26.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF554	19p13.3	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF586	19q13.43	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF680	7q11.21	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF697	1p12	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZNF780B	19q13.2	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
ZSCAN4	19q13.43	4 (2.09%)	4 (4.49%)	-1.10	0.225	0.667	(B) SARIFA
CELSR3	3p21.31	27 (14.14%)	9 (10.11%)	0.48	0.231	0.667	(A) NON-SARIFA
PXDN	2p25.3	27 (14.14%)	9 (10.11%)	0.48	0.231	0.667	(A) NON-SARIFA
ABCA7	19p13.3	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
BCL6	3q27.3	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
CD163L1	12p13.31	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
DOCK10	2q36.2	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
IGHMBP2	11q13.3	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
NRROS	3q29	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
PRX	19q13.2	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
SCN4A	17q23.3	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
SEPTIN14	7p11.2	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
SETDB1	1q21.3	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
SRRT	7q22.1	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
TRIM56	7q22.1	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
USP13	3q26.33	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
ZKSCAN1	7q22.1	13 (6.81%)	9 (10.11%)	-0.57	0.233	0.667	(B) SARIFA
AASDHPPT	11q22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ACTG1P20	1p36.11	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ACTR3-AS1	2q14.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
AMBP	9q32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ANKRD20A8P	2q11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ANKRD62P1-PARP4P3	22q11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
AP4S1	14q12	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
APOL1	22q12.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ARHGEF38	4q24	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ARPC2	2q35	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
AS3MT	10q24.32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ATCAY	19p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ATP5MK	10q24.33	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ATP6V0E2-AS1	7q36.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ATP6V1E1	22q11.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BBC3	19q13.32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BET1L	11p15.5	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BHLHB9	Xq22.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BID	22q11.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BIN3-IT1	8p21.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BPESC1	3q23	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
BSPRY	9q32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C10ORF126	10p12.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C10ORF95	10q24.32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C10ORF99	10q23.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C11ORF65	11q22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C16ORF82	16p12.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C2CD4C	19p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
C3ORF22	3q21.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CACTIN-AS1	19p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CASP2	7q34	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CBLB	3q13.11	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CBLIF	11q12.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CD109-AS1	6q13	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CD164L2	1p36.11	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CEACAM21	19q13.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CECR3	22q11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CECR7	22q11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CEP41	7q32.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CHMP4A	14q12	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CLDND1	3q11.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CLEC18B	16q23.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CLIC3	9q34.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CLPSL1	6p21.31	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CMTM5	14q11.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CNN3	1p21.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CNPY2	12q13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
COMMD8	4p12	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
COX8A	11q13.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CRYAA	21q22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CTAGE11P	13q22.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CTDNEP1	17p13.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CTRB1	16q23.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CTRB2	16q23.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CYB5D2	17p13.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
CYP20A1	2q33.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DCAF16	4p15.31	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DDAH1	1p22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DISC1FP1	11q14.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DNAAF6	Xq22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DNAJC25	9q31.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DNASE1L2	16p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DND1	5q31.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DPEP2NB	16q22.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DPRXP4	17q11.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DSCAM-AS1	21q22.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
DSCAM-IT1	21q22.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
EEF2KMT	16p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
EFCAB12	3q21.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
EMC6	17p13.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
EMP2	16p13.13	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
ERICH4	19q13.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
EXOSC5	19q13.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
EXOSC6	16q22.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAAH2	Xp11.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAIM	3q22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAM156A	Xp11.22	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAM156B	Xp11.22	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAM157B	9q34.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAM163B	9q34.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAM238B	10p12.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FAM98B	15q14	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FBLN5	14q32.12	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FIBIN	11p14.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FRG2DP	16p11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FRMPD3-AS1	Xq22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FSTL1	3q13.33	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
FUT3	19p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GAB1	4q31.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GAS2L1	22q12.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GK5	3q23	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GKAP1	9q21.32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GLT6D1	9q34.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GNG10	9q31.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GPR148	2q21.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GPR151	5q32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GPR55	2q37.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GPR65	14q31.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GPRC5A	12p13.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GPRC5D-AS1	12p13.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GREP1	16p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GRM5-AS1	11q14.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GSTCD	4q24	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GSTK1	7q34	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GUSBP5	4q31.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GYPA	4q31.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
GYPE	4q31.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
H2AJ	12p12.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HABP4	9q22.32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HCCAT5	16q22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HDHD3	9q32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HDHD5-AS1	22q11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HERC2P4	16p11.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HERPUD1	16q13	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HHIP-AS1	4q31.21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HMG20B	19p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HMOX2	16p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HORMAD2	22q12.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HORMAD2-AS1	22q12.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HSFY1P1	22q11.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
HTR7P1	12p13.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IFI6	1p35.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IFITM3	11p15.5	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IFNLR1	1p36.11	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IGHV3-16	14q32.33	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IL20RB	3q22.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IL21	4q27	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IL21R-AS1	16p12.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IL23A	12q13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IL32	16p13.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
INIP	9q32	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
IZUMO2	19q13.33	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
JRKL-AS1	11q21	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
KCNIP4	4p15.31-p15.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
KCNJ13	2q37.1	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
KLF7	2q33.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
KRT86	12q13	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
KRTAP19-8	21q22.11	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LAPTM5	1p35.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LCN10	9q34.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LCN8	9q34.3	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LCORL	4p15.31	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LHFPL7	22q11.23	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LINC00244	7q36	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
LINC00273	16p11.2	1 (0.52%)	2 (2.25%)	-2.10	0.238	0.667	(B) SARIFA
